t                     ,c1                             ,c2                  ,c3                   ,c4                      ,c5                   ,c6                                      ,c7                        ,c8                        ,c9                         ,c10                        ,c11                       ,c12                                ,c13                        ,c14                         ,c15                        ,c16                        ,c17                              ,c18                        ,c19                          ,c20                          ,c21                        ,c22                             ,c23                        ,c24                          ,c25                             ,c26
0.0016666666661349424 ,0.0000000000007138703424217655 ,0.24992451941426422 ,0.02492494942330144  ,0.00007493624228240534  ,0.024999531363477056 ,0.0000000000000000005218188960679415    ,0.00000008378632261913591 ,0.00000047677971872207266 ,0.000000011827053155987044 ,0.000000010019878658800146 ,0.00000008376091621283156 ,0.00000000000000011985731846826787 ,0.000000020003904356482472 ,0.000000001220810677478312  ,0.0000000400912634359487   ,0.000000018783113823469556 ,0.000000000000020144393907493034 ,0.000000010024408761071284 ,0.000000009955614824218907   ,0.000000008327981120002054   ,0.000000010787066636552121 ,0.0000000000004012044249386263  ,0.000000010014693526585294 ,0.000000009901001885806783   ,0.00000000003478792686330499    ,0.0000000000019627446224678334    ,
0.0033333333319243495 ,0.0000000000011291726406130858 ,0.24992404527604906 ,0.024924948108458155 ,0.00007486137584500018  ,0.02499906274731577  ,0.0000000000000000007581395034697307    ,0.0000001587175999285969  ,0.0000009400608779053627  ,0.000000017140736803120972 ,0.00000001003956733960436  ,0.0000001586338030681761  ,0.00000000000000011933917979710695 ,0.000000020007918164196698 ,0.000000001221055695099453  ,0.00000004018465276206664  ,0.00000001878688261749635  ,0.000000000000020148436967475273 ,0.000000010055891016194207 ,0.0000000099041963199956     ,0.000000007127000125475007   ,0.000000011339246014140602 ,0.00000000000040120444610300117 ,0.000000010047473769330314 ,0.000000009803933125452882   ,0.00000000005054263376797237    ,0.000000000001924436584905519     ,
0.004999999997713756  ,0.00000000000140649049015806   ,0.24992356765041965 ,0.024924947085973485 ,0.00007478659240030131  ,0.02499859419850491  ,0.000000000000000000859867743468375     ,0.00000023358183641406832 ,0.0000013998718673546328  ,0.000000025914901852276027 ,0.000000010059044073476748 ,0.0000002334189422566102  ,0.0000000000000001188416942621969  ,0.00000002001194122345462  ,0.0000000012213012639004049 ,0.000000040276304661388756 ,0.000000018790660111857113 ,0.00000000000002015248910802359  ,0.00000001009432684667759  ,0.00000000984588999530183    ,0.000000006220958619780786   ,0.000000011744465730573456 ,0.0000000000004012044625614271  ,0.000000010088284702869948 ,0.0000000097087491976007     ,0.00000000005732451631424364    ,0.000000000001887239448391145     ,
0.006666666663503163  ,0.0000000000016122853544822007 ,0.2499230865792653  ,0.024924946263226486 ,0.00007471188707622066  ,0.024998125649694048 ,0.0000000000000000008982909505374217    ,0.0000003083743410232893  ,0.00000185623863424928    ,0.00000003812357960086175  ,0.000000010078295217871893 ,0.00000030811789986772097 ,0.00000000000000011836424053566435 ,0.000000020015973363466152 ,0.00000000122154737771453   ,0.000000040366278538202804 ,0.000000018794446141965256 ,0.00000000000002015655023190849  ,0.000000010139580333517379 ,0.000000009780856041645135   ,0.00000000551184333525081    ,0.000000012051646151787076 ,0.0000000000004012044758047763  ,0.000000010132401161743145 ,0.000000009615395732018561   ,0.00000000005988606339571338    ,0.000000000001851110541014997     ,
0.00833333332929257   ,0.0000000000017789623051456507 ,0.24992260209746547 ,0.024924945573139783 ,0.00007463725754536604  ,0.024997657100883187 ,0.0000000000000000009070795029650375    ,0.00000038309292586630485 ,0.000002309186942214528   ,0.00000005374097374938991  ,0.000000010097319022042471 ,0.0000003827318294335572  ,0.00000000000000011790623467553447 ,0.00000002002001441932994  ,0.0000000012217940295606388 ,0.00000004045463199946505  ,0.000000018798240549910655 ,0.000000000000020160620227229542 ,0.000000010191502019044012 ,0.000000009709266745858339   ,0.000000004940767440296817   ,0.000000012290165818850688 ,0.0000000000004012044869127594  ,0.000000010177604740852837 ,0.000000009523820429723478   ,0.00000000006047196686456879    ,0.000000000001816009347231784     ,
0.009999999969163453  ,0.000000000001922584949554534  ,0.24992211422720712 ,0.024924944980059288 ,0.0000745627026821907   ,0.024997188517382543 ,0.0000000000000000009021313541461231    ,0.0000004577365843481358  ,0.000002758742371745966   ,0.00000007274145206716061  ,0.000000010116129095418256 ,0.00000045726163390968766 ,0.00000000000000011746712381178081 ,0.000000020024064231817405 ,0.0000000012220412113590688 ,0.00000004054142094510592  ,0.00000001880204318454582  ,0.000000000000020164698962420373 ,0.000000010249929539721138 ,0.000000009631305783166334   ,0.0000000044702211104106675  ,0.00000001247872826316389  ,0.0000000000004012044964592822  ,0.000000010222860875226224 ,0.000000009433972966172561   ,0.00000000006014209026455267    ,0.0000000000017818972546529678    ,
0.011666666625701002  ,0.000000000002051289763431325  ,0.24992162300192824 ,0.024924944455825417 ,0.00007448822192692068  ,0.024996719985711482 ,0.0000000000000000008909479666946518    ,0.0000005323048699926529  ,0.0000032049303434351234  ,0.0000000950995392650587   ,0.00000001013475778115569  ,0.0000005317080599197843  ,0.00000000000000011704638351553327 ,0.000000020028122647319438 ,0.0000000012222889150262238 ,0.000000040626699654272836 ,0.000000018805853900295894 ,0.000000000000020168786305532195 ,0.000000010314688306601679 ,0.000000009547167473426889   ,0.000000004075180609960291   ,0.000000012629803019053898 ,0.0000000000004012045048976154  ,0.000000010267693825463595 ,0.000000009345804895462579   ,0.00000000005939653109574347    ,0.000000000001748737446383223     ,
0.01333333328223855   ,0.000000000002169314680653283  ,0.24992112844789313 ,0.02492494397252146  ,0.00007441381498982967  ,0.02499625147159509  ,0.0000000000000000008770641479880648    ,0.0000006067975970954133  ,0.0000036477760960049456  ,0.00000012078990814949117  ,0.000000010153259433075015 ,0.0000006060717475346213  ,0.00000000000000011664351559256132 ,0.000000020032189517369145 ,0.0000000012225371327894909 ,0.00000004071052085632148  ,0.000000018809672556536902 ,0.00000000000002017288212961631  ,0.000000010385592214419777 ,0.000000009457056021730041   ,0.0000000037383139951961735  ,0.000000012752020121332974 ,0.00000000000040120451267712033 ,0.000000010311891396458454 ,0.000000009259269568621989   ,0.00000000005847094317975147    ,0.0000000000017164948037306545    ,
0.014999999938776098  ,0.0000000000022789453237255197 ,0.24992063059131842 ,0.024924943556187826 ,0.00007433948170659067  ,0.024995782957478698 ,0.0000000000000000008621409987602761    ,0.0000006812147044216146  ,0.000004087304706987066   ,0.0000001497873728327338   ,0.000000010171713600962467 ,0.000000680353267011273   ,0.00000000000000011625804587789224 ,0.00000002003626469870627  ,0.000000001222785854708797  ,0.00000004079293580489928  ,0.00000001881349902000701  ,0.000000000000020176986269306652 ,0.000000010462444383878876 ,0.000000009361184734531877   ,0.0000000034472382564876793  ,0.000000012851539871209658 ,0.0000000000004012045193786373  ,0.000000010355365450327897 ,0.000000009174322047696804   ,0.000000000057476066563826554   ,0.00000000000168513581179679      ,
0.016666666595313646  ,0.0000000000023814661069535073 ,0.24992012945859043 ,0.024924943139854192 ,0.0000742652219722126   ,0.024995314443362306 ,0.0000000000000000008469547509871922    ,0.0000007555561886773661  ,0.000004523541093292455   ,0.00000018206688123986057  ,0.00000001019022812118905  ,0.000000754553139824343   ,0.00000000000000011588952325249492 ,0.000000020040348053427974 ,0.0000000012230350754382866 ,0.000000040873994342827676 ,0.000000018817333157926692 ,0.000000000000020181098639923332 ,0.000000010545037922922328 ,0.000000009259775228255477   ,0.0000000031928720068062515  ,0.000000012932875412151358 ,0.00000000000040120452608015453 ,0.000000010398086022376117 ,0.000000009090919028841742   ,0.00000000005646365004557026    ,0.0000000000016546284726877282    ,
